SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2022/2023,3996138,St Augustine's,39,Vancouver                               ,Independent School,2154 7th Ave W,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2653331,-123.15333
2022/2023,3696457,St Bernadette,36,Surrey                                  ,Independent School,13130 65B Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1219006,-122.85771
2022/2023,3596458,St Catherines School,35,Langley                                 ,Independent School,20244 32 Ave,Langley                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.05963,-122.66253
2022/2023,6196097,St Christopher's Montessori,61,Greater Victoria                        ,Independent School,2619 Currie Rd,Victoria                      ,STANDARD,ELEMENTARY,NO,NO,NO,NO,48.4224534,-123.30444
2022/2023,4496151,St Edmund's,44,North Vancouver                         ,Independent School,535 Mahon Ave,North Vancouver               ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3183288,-123.08144
2022/2023,4196139,St Francis de Sales,41,Burnaby                                 ,Independent School,6656 Balmoral St,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2200192,-122.96648
2022/2023,3996077,St Francis of Assisi,39,Vancouver                               ,Independent School,870 Victoria Dr,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2769021,-123.06521
2022/2023,3996140,St Francis Xavier,39,Vancouver                               ,Independent School,428 Great Northern Way,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.266491,-123.09509
2022/2023,3996002,St George's School,39,Vancouver                               ,Independent School,4175 W 29th Ave,Vancouver                     ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2473285,-123.19923
2022/2023,4196141,St Helen's,41,Burnaby                                 ,Independent School,3894 Triumph St,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2835829,-123.01887
2022/2023,2296078,St James,22,Vernon                                  ,Independent School,2700 28 Ave,Vernon                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.2617463,-119.26748
2022/2023,3496454,St James,34,Abbotsford                              ,Independent School,2767 Townline Rd,Abbotsford                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0525008,-122.36152
2022/2023,3496595,St John Brebeuf Regional Secondary,34,Abbotsford                              ,Independent School,2747 Townline Rd,Abbotsford                    ,STANDARD,SECONDARY,YES,NO,NO,NO,49.0516688,-122.36161
2022/2023,3696941,St John Paul II Academy,36,Surrey                                  ,Independent School,15262 Pacific Ave,White Rock                    ,STANDARD,JUNIOR SECONDARY,YES,NO,NO,NO,49.0231115,-122.80001
2022/2023,3996527,St John's Academy,39,Vancouver                               ,Independent School,369 Boundary Rd,Vancouver                     ,STANDARD,SECONDARY,NO,NO,NO,NO,49.2814198,-123.02366
2022/2023,7996965,St John's Preparatory Academy Shawnigan,79,Cowichan Valley                         ,Independent School,2371 Shawnigan Lake Rd,Shawnigan Lake                ,STANDARD,NO ENROLMENT REPORTED,YES,NO,NO,NO,48.6360797,-123.63004
2022/2023,3996435,St John's School,39,Vancouver                               ,Independent School,2215 10th Ave W,Vancouver                     ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2630882,-123.15568
2022/2023,2396081,St Joseph Elementary School,23,Central Okanagan                        ,Independent School,839 Sutherland Ave,Kelowna                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.8795749,-119.48415
2022/2023,896143,St Joseph School,8,Kootenay Lake                           ,Independent School,523 Mill St,Nelson                        ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.4893819,-117.29073
2022/2023,3896463,St Joseph the Worker,38,Richmond                                ,Independent School,4451 Williams Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1424187,-123.17363
2022/2023,3996145,St Joseph's,39,Vancouver                               ,Independent School,3261 Fleming St,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.255789,-123.07173
2022/2023,5496157,St Joseph's,54,Bulkley Valley                          ,Independent School,PO Box 454,Smithers                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,54.7830865,-127.17772
2022/2023,6196107,St Joseph's Catholic,61,Greater Victoria                        ,Independent School,757 Burnside Rd W,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.4618941,-123.40396
2022/2023,3996147,St Jude's,39,Vancouver                               ,Independent School,2953 15th Ave E,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2565918,-123.04224
2022/2023,6196010,St Margaret's,61,Greater Victoria                        ,Independent School,1080 Lucas Ave,Victoria                      ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.4804682,-123.36371
2022/2023,3396149,St Mary's,33,Chilliwack                              ,Independent School,8909 Mary St,Chilliwack                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1637967,-121.96261
2022/2023,3996150,St Mary's,39,Vancouver                               ,Independent School,5239 Joyce St,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2376769,-123.03363
2022/2023,5796160,St Mary's,57,Prince George                           ,Independent School,1088 Gillett St,Prince George                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,53.913811,-122.77435
2022/2023,596109,St Mary's Catholic Independent,5,Southeast Kootenay                      ,Independent School,1701 5th St S,Cranbrook                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.5032854,-115.75737
2022/2023,3696866,St Matthew's Elementary,36,Surrey                                  ,Independent School,16065 88 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1631903,-122.77646
2022/2023,2096098,St Michael's Elementary,20,Kootenay-Columbia                       ,Independent School,1329 Fourth Ave,Trail                         ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1014755,-117.70118
2022/2023,4196118,St Michaels,41,Burnaby                                 ,Independent School,9387 Holmes St,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2361779,-122.89672
2022/2023,6196469,St Michaels University School - Junior,61,Greater Victoria                        ,Independent School,820 Victoria Ave,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.4179531,-123.31845
2022/2023,6196470,St Michaels University School - Middle,61,Greater Victoria                        ,Independent School,3400 Richmond Rd,Victoria                      ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,48.4521053,-123.3285
2022/2023,6196008,St Michaels University School - Senior,61,Greater Victoria                        ,Independent School,3400 Richmond Rd,Victoria                      ,STANDARD,SECONDARY,YES,NO,NO,NO,48.4521053,-123.3285
2022/2023,3996030,St Patrick Regional Secondary,39,Vancouver                               ,Independent School,115 11th Ave E,Vancouver                     ,STANDARD,SECONDARY,NO,NO,NO,NO,49.2614236,-123.10246
2022/2023,4296153,St Patrick's,42,Maple Ridge-Pitt Meadows                ,Independent School,22589 121 Ave,Maple Ridge                   ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2225695,-122.59584
2022/2023,3996161,St Patrick's Elementary,39,Vancouver                               ,Independent School,2850 Quebec St,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2597816,-123.1028
2022/2023,6196154,St Patrick's School,61,Greater Victoria                        ,Independent School,2368 Trent St,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.433697,-123.32423
2022/2023,3896103,St Paul School,38,Richmond                                ,Independent School,8251 St. Albans Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1531881,-123.13255
2022/2023,4496652,St Pius X Elementary School,44,North Vancouver                         ,Independent School,1150 Mount Seymour Rd,North Vancouver               ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3175034,-122.96765
2022/2023,3996944,St Regis Secondary School,39,Vancouver                               ,Independent School,2140 41st Ave W,Vancouver                     ,STANDARD,SECONDARY,NO,NO,NO,NO,49.2344336,-123.15688
2022/2023,4496062,St Thomas Aquinas,44,North Vancouver                         ,Independent School,541 Keith Rd W,North Vancouver               ,STANDARD,SECONDARY,YES,NO,NO,NO,49.3194862,-123.08732
2022/2023,4196031,St Thomas More Collegiate,41,Burnaby                                 ,Independent School,7450 12th Ave,Burnaby                       ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2152105,-122.93812
2022/2023,4848027,St'a7mes School,48,Sea to Sky                              ,Public School,PO Box 640 STN Main,Squamish                      ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.6950631,-123.14286
2022/2023,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia                       ,Public School,720 7 Ave,Castlegar                     ,STANDARD,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661
2022/2023,3696321,Star of the Sea,36,Surrey                                  ,Independent School,15024 24 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0447496,-122.80603
2022/2023,3899061,Station Stretch,38,Richmond                                ,Public School,5280 Minoru Blvd,Richmond                      ,ALTERNATE,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.1758881,-123.13977
2022/2023,7575030,Stave Falls Elementary,75,Mission                                 ,Public School,30204 Brackley Ave,Mission                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2225053,-122.38687
2022/2023,502031,Steeples Elementary,5,Southeast Kootenay                      ,Public School,700 24th Ave N,Cranbrook                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.5181,-115.747
2022/2023,7497493,Stein Valley Nlakapamux School,74,Gold Trail                              ,Independent School,Bag 300,Lytton                        ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,50.267119,-121.60105
2022/2023,6363020,Stelly's Secondary,63,Saanich                                 ,Public School,1627 Stellys Cross Rd,Saanichton                    ,STANDARD,SECONDARY,YES,YES,NO,NO,48.5785177,-123.43235
2022/2023,3838045,Steveston-London Secondary,38,Richmond                                ,Public School,6600 Williams Rd,Richmond                      ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1390516,-123.14986
2022/2023,3333046,Stito:s La:lem Toti:lt,33,Chilliwack                              ,Public School,5337 Tyson Road,Chilliwack                    ,STANDARD,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,49.0987996,-121.97747
2022/2023,4141057,Stoney Creek Community Elementary,41,Burnaby                                 ,Public School,2740 Beaverbrook Cres,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2590863,-122.90365
2022/2023,3996692,Stratford Hall,39,Vancouver                               ,Independent School,3000 Commercial Dr,Vancouver                     ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2575374,-123.06953
2022/2023,3333003,Strathcona Elementary,33,Chilliwack                              ,Public School,46375 Strathcona Rd,Chilliwack                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1874902,-121.94116
2022/2023,3636109,Strawberry Hill Elementary,36,Surrey                                  ,Public School,7633 124 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1416582,-122.8795
2022/2023,6161032,Strawberry Vale Elementary,61,Greater Victoria                        ,Public School,4109 Rosedale Ave,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.4775731,-123.41706
2022/2023,4141049,Stride Avenue Community Elementary,41,Burnaby                                 ,Public School,7014 Stride Ave,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2110018,-122.95427
2022/2023,2396676,Studio 9 Independent School of the Arts,23,Central Okanagan                        ,Independent School,1180 Houghton Rd,Kelowna                       ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.89264,-119.40984
2022/2023,6897002,Stz'uminus Senior Secondary,68,Nanaimo-Ladysmith                       ,Independent School,3951 Shell Beach Rd,Ladysmith                     ,STANDARD,SECONDARY,NO,NO,NO,NO,48.992569,-123.76835
2022/2023,3636021,Sullivan Elementary,36,Surrey                                  ,Public School,6016 152 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.112083,-122.79987
2022/2023,3636164,Sullivan Heights Secondary,36,Surrey                                  ,Public School,6248 144 St,Surrey                        ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1164175,-122.82174
2022/2023,6767021,Summerland Middle School,67,Okanagan Skaha                          ,Public School,Drawer 3000,Summerland                    ,STANDARD,MIDDLE SCHOOL,YES,YES,YES,NO,49.6041449,-119.67991
2022/2023,6796687,Summerland Montessori School,67,Okanagan Skaha                          ,Independent School,Box 603,Summerland                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.5974274,-119.68388
2022/2023,6777002,Summerland Secondary,67,Okanagan Skaha                          ,Public School,Box 2501,Summerland                    ,STANDARD,SECONDARY,YES,YES,NO,NO,49.6020169,-119.67907
2022/2023,6799203,Summerland Secondary Alternate,67,Okanagan Skaha                          ,Public School,Box 2501,Summerland                    ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.6020169,-119.67907
2022/2023,7324068,Summit Elementary,73,Kamloops-Thompson                       ,Public School,425 Monarch Crt,Kamloops                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.6528069,-120.348
2022/2023,4343114,Summit Middle School,43,Coquitlam                               ,Public School,1450 Parkway Blvd,Coquitlam                     ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.2955116,-122.80656
2022/2023,7373085,Sun Peaks School,73,Kamloops-Thompson                       ,Public School,4040 Sundance Dr,Heffley Creek                 ,STANDARD,NO ENROLMENT REPORTED,YES,NO,NO,NO,50.8874282,-119.88188
2022/2023,4141050,Suncrest Elementary,41,Burnaby                                 ,Public School,3883 Rumble St,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2152341,-123.01842
2022/2023,6161008,Sundance-Bank Elementary,61,Greater Victoria                        ,Public School,1623 Bank St,Victoria                      ,STANDARD,ELEMENTARY,NO,NO,NO,NO,48.4280195,-123.32848
2022/2023,3636038,Sunnyside Elementary,36,Surrey                                  ,Public School,2828 159 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0533874,-122.78097
2022/2023,3636149,Sunrise Ridge Elementary,36,Surrey                                  ,Public School,18690 60 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,YES,NO,49.1106761,-122.70432
2022/2023,7996368,Sunrise Waldorf School,79,Cowichan Valley                         ,Independent School,2148 Lakeside Rd,Duncan                        ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.7237708,-123.64765
2022/2023,8585028,Sunset Elementary,85,Vancouver Island North                  ,Public School,PO Box 160,Port McNeill                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.5848022,-127.07393
2022/2023,4699076,Sunshine Coast Alternative School,46,Sunshine Coast                          ,Public School,PO Box 369,Gibsons                       ,ALTERNATE,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.4065757,-123.51361
2022/2023,3737013,Sunshine Hills Elementary,37,Delta                                   ,Public School,11285 Bond Blvd,Delta                         ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.1238838,-122.91081
2022/2023,7272085,Surge Narrows Elementary,72,Campbell River                          ,Public School,PO Box 40,Surge Narrows                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.1877738,-125.09238
2022/2023,3699142,Surrey Academy of Innovative Learning,36,Surrey                                  ,Public School,14033 92 Ave,Surrey                        ,DISTRICT DISTANCE ED,SECONDARY,YES,NO,NO,NO,49.1702677,-122.83237
2022/2023,3636039,Surrey Centre Elementary,36,Surrey                                  ,Public School,16670 Old Mclellan Rd,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1096046,-122.75902
2022/2023,3696266,Surrey Christian School,36,Surrey                                  ,Independent School,8888 162 St,Surrey                        ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.1641771,-122.77262
2022/2023,3696675,Surrey Muslim School,36,Surrey                                  ,Independent School,119-7475 135 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.13829,-122.84878
2022/2023,3636080,Surrey Traditional,36,Surrey                                  ,Public School,13875 113 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2081857,-122.83804
2022/2023,4444012,Sutherland Secondary,44,North Vancouver                         ,Public School,1860 Sutherland Ave,North Vancouver               ,STANDARD,SECONDARY,YES,NO,NO,NO,49.3261426,-123.05277
2022/2023,4399226,Suwa'lkh School,43,Coquitlam                               ,Public School,1432 Brunette Ave,Coquitlam                     ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.2403339,-122.8527
2022/2023,8288016,Suwilaawks Community School,82,Coast Mountains                         ,Public School,3430 Sparks St,Terrace                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,54.5225047,-128.59201
2022/2023,6868325,Syuwen'ct Elementary School,68,Nanaimo-Ladysmith                       ,Public School,2280 Sun Valley Dr,Nanaimo                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1931932,-124.00614
2022/2023,3636053,T E Scott Elementary,36,Surrey                                  ,Public School,7079 148 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1315379,-122.81262
2022/2023,502024,T M Roberts Elementary,5,Southeast Kootenay                      ,Public School,10 Wattsville Rd,Cranbrook                     ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.5039978,-115.77884
2022/2023,8597094,T'lisalagi'lakw School,85,Vancouver Island North                  ,Independent School,PO Box 50,Alert Bay                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,50.596826,-126.93455
2022/2023,5050008,Tahayghen Elementary,50,Haida Gwaii                             ,Public School,PO Box 290,Masset                        ,STANDARD,ELEMENTARY,NO,NO,NO,NO,54.015028,-132.14918
2022/2023,8787003,Tahltan School,87,Stikine                                 ,Public School,PO Box 12,Telegraph Creek               ,STANDARD,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,57.9032004,-131.16056
2022/2023,4199300,Take a Hike Secondary Program,41,Burnaby                                 ,Public School,5310 Woodsworth St,Burnaby                       ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.2507373,-122.98745
2022/2023,3636150,Tamanawis Secondary,36,Surrey                                  ,Public School,12600 66 Ave,Surrey                        ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1221051,-122.8715
2022/2023,7965016,Tansor Elementary,79,Cowichan Valley                         ,Public School,3594 Auchinachie Rd,Duncan                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.7950235,-123.7532
2022/2023,2727066,Tatla Lake Elem-Jr Secondary,27,Cariboo-Chilcotin                       ,Public School,PO Box 56,Tatla Lake                    ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,51.895649,-124.63618
2022/2023,6060021,Taylor Elementary,60,Peace River North                       ,Public School,PO Box 210,Taylor                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,56.1669097,-120.69133
2022/2023,4141065,Taylor Park Elementary,41,Burnaby                                 ,Public School,7590 Mission Ave,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.20753,-122.95957
2022/2023,3939102,Tecumseh Annex,39,Vancouver                               ,Public School,1551 37th Ave E,Vancouver                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2370894,-123.07373
2022/2023,3939050,Tecumseh Elementary,39,Vancouver                               ,Public School,1850 41st Ave E,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2322173,-123.06813
2022/2023,5454005,Telkwa Elementary,54,Bulkley Valley                          ,Public School,PO Box 68,Telkwa                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,54.6964199,-127.04906
2022/2023,3939010,Templeton Secondary,39,Vancouver                               ,Public School,727 Templeton Dr,Vancouver                     ,STANDARD,SECONDARY,YES,NO,NO,NO,49.277923,-123.06086
2022/2023,3434036,Ten Broeck Elementary,34,Abbotsford                              ,Public School,2580 Stanley St,Abbotsford                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0497349,-122.34521
2022/2023,3434046,Terry Fox Elementary,34,Abbotsford                              ,Public School,3071 Babich St,Abbotsford                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0579226,-122.30134
2022/2023,4343136,Terry Fox Secondary,43,Coquitlam                               ,Public School,1260 Riverwood Gate,Port Coquitlam                ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2625581,-122.74831
2022/2023,4747014,Texada Elementary,47,Powell River                            ,Public School,PO Box 40,Van Anda                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.7606899,-124.55825
2022/2023,2396966,The Balsam School,23,Central Okanagan                        ,Independent School,205-251 Lawrence Ave,Kelowna                       ,STANDARD,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.8851255,-119.49804
2022/2023,596715,The Fernie Academy,5,Southeast Kootenay                      ,Independent School,PO Box 2677 451 2nd Ave,Fernie                        ,STANDARD,ELEMENTARY SECONDARY,YES,YES,NO,NO,49.5028296,-115.06215
2022/2023,3596779,The Global School,35,Langley                                 ,Independent School,19785 55A Ave,Langley                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1036123,-122.67479
2022/2023,6896807,The High School at VIU,68,Nanaimo-Ladysmith                       ,Independent School,900 Fifth St,Nanaimo                       ,STANDARD,SECONDARY,NO,NO,NO,NO,49.1557796,-123.96828
2022/2023,6896650,The International High School @ VIU,68,Nanaimo-Ladysmith                       ,Independent School,900 Fifth St,Nanaimo                       ,STANDARD,SECONDARY,NO,NO,NO,NO,49.1557796,-123.96828
2022/2023,6098006,The Key Learning Centre DL,60,Peace River North                       ,Public School,10511 99 Ave,Fort St John                  ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,NO,YES,NO,NO,56.2450943,-120.85652
2022/2023,3596376,The King's School,35,Langley                                 ,Independent School,PO Box 28 Stn Milner,Langley                       ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.1443197,-122.61856
2022/2023,6199146,The Link,61,Greater Victoria                        ,Public School,498 Cecelia Rd,Victoria                      ,DISTRICT DISTANCE ED,SECONDARY,NO,NO,NO,NO,48.4413988,-123.36251
2022/2023,3996724,The Westside School,39,Vancouver                               ,Independent School,788 Beatty St,Vancouver                     ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.27757,-123.11344
2022/2023,7965032,Thetis Island Elementary,79,Cowichan Valley                         ,Public School,3172 Garner St,Chemainus                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.9883574,-123.67867
2022/2023,4242038,Thomas Haney Secondary,42,Maple Ridge-Pitt Meadows                ,Public School,23000 116 Ave,Maple Ridge                   ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2130238,-122.58492
2022/2023,3838019,Thomas Kidd Elementary,38,Richmond                                ,Public School,10851 Shell Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1356797,-123.10402
2022/2023,8288014,Thornhill Elementary,82,Coast Mountains                         ,Public School,2906 Clark St,Terrace                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,54.5121724,-128.54019
2022/2023,8288022,Thornhill Primary,82,Coast Mountains                         ,Public School,3860 Paquette Ave,Terrace                       ,STANDARD,ELEMENTARY,NO,NO,NO,NO,54.5111094,-128.53828
2022/2023,3939082,Thunderbird Elementary,39,Vancouver                               ,Public School,2325 Cassiar St,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2634278,-123.03154
2022/2023,3939112,Tillicum Community Annex,39,Vancouver                               ,Public School,2450 Cambridge St,Vancouver                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2864098,-123.05549
2022/2023,6161020,Tillicum Community School,61,Greater Victoria                        ,Public School,3155 Albina St,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.452063,-123.39297
2022/2023,7272012,Timberline Secondary School,72,Campbell River                          ,Public School,1681 South Dogwood St,Campbell River                ,STANDARD,SECONDARY,YES,NO,NO,NO,49.9798263,-125.24507
2022/2023,3396209,Timothy Christian School,33,Chilliwack                              ,Independent School,50420 Castleman Rd,Chilliwack                    ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.1901718,-121.82936
2022/2023,8181015,Toad River Elem-Secondary,81,Fort Nelson                             ,Public School,PO Box 87,Fort Nelson                   ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,58.8475902,-125.23139
2022/2023,3838053,Tomekichi Homma Elementary,38,Richmond                                ,Public School,5100 Brunswick Dr,Richmond                      ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.1229423,-123.16846
2022/2023,3838023,Tomsett Elementary,38,Richmond                                ,Public School,9671 Odlin Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1828487,-123.11612
2022/2023,3535054,Topham Elementary,35,Langley                                 ,Public School,21555 91 Ave,Langley                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1683598,-122.62505
2022/2023,6161065,Torquay Elementary,61,Greater Victoria                        ,Public School,4413 Torquay Dr,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.4867815,-123.32387
2022/2023,4396588,Traditional Learning Academy,43,Coquitlam                               ,Independent School,1189 Rochester Ave,Coquitlam                     ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2454644,-122.85716
2022/2023,3696720,Traditional Learning Academy Online,36,Surrey                                  ,Independent School,5741 176 St,Surrey                        ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.1219706,-122.73278
2022/2023,3939084,Trafalgar Elementary,39,Vancouver                               ,Public School,4170 Trafalgar St,Vancouver                     ,STANDARD,ELEMENTARY,YES,YES,YES,NO,49.2497723,-123.16439
2022/2023,807005,Trafalgar Middle School,8,Kootenay Lake                           ,Public School,1201 Josephine St,Nelson                        ,STANDARD,ELEMENTARY JR SECONDARY,YES,YES,YES,NO,49.4873726,-117.28681
2022/2023,5959009,Tremblay Elementary,59,Peace River South                       ,Public School,11311 13A St,Dawson Creek                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,55.7466022,-120.23982
2022/2023,6777003,Trout Creek Elementary,67,Okanagan Skaha                          ,Public School,Box 3000,Summerland                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.5714292,-119.62547
2022/2023,7070028,Tsuma-as Elementary,70,Pacific Rim                             ,Public School,5055 Compton Rd,Port Alberni                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2697584,-124.81606
2022/2023,5314007,Tuc-el-Nuit Elementary,53,Okanagan Similkameen                    ,Public School,6648 Park Dr,Oliver                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1900567,-119.53921
2022/2023,5959029,Tumbler Ridge Elementary,59,Peace River South                       ,Public School,PO Box 700,Tumbler Ridge                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,55.1295929,-121.00487
2022/2023,5959027,Tumbler Ridge Secondary,59,Peace River South                       ,Public School,180 Southgate,Tumbler Ridge                 ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,55.1238717,-121.00151
2022/2023,5454012,Twain Sullivan Elementary,54,Bulkley Valley                          ,Public School,PO Box 1300,Houston                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,54.3876364,-126.6537
