SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2022/2023,3939062,John Norquay Elementary,39,Vancouver                               ,Public School,4710 Slocan St,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2421529,-123.05122
2022/2023,3939007,John Oliver Secondary,39,Vancouver                               ,Public School,530 41st Ave E,Vancouver                     ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2324298,-123.09345
2022/2023,7096763,John Paul II Catholic School,70,Pacific Rim                             ,Independent School,4006 8th Ave,Port Alberni                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2492168,-124.80108
2022/2023,6262037,John Stubbs Elementary,62,Sooke                                   ,Public School,301 Zealous Cres,Victoria                      ,STANDARD,ELEMENTARY,NO,YES,NO,NO,48.4359903,-123.46291
2022/2023,6262023,John Stubbs Middle,62,Sooke                                   ,Public School,301 Zealous Cres,Victoria                      ,STANDARD,MIDDLE SCHOOL,NO,YES,YES,NO,48.4359903,-123.46291
2022/2023,3838021,John T Errington Elementary,38,Richmond                                ,Public School,9831 Herbert Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1431668,-123.14204
2022/2023,3996964,Johnathan Academy,39,Vancouver                               ,Independent School,400-5750 Oak St,Vancouver                     ,STANDARD,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.2567185,-123.18225
2022/2023,3636045,Johnston Heights Secondary,36,Surrey                                  ,Public School,15350 99 Ave,Surrey                        ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1820127,-122.79726
2022/2023,6262031,Journey Middle School,62,Sooke                                   ,Public School,PO Box 100,Sooke                         ,STANDARD,MIDDLE SCHOOL,YES,YES,NO,NO,48.387516,-123.717
2022/2023,6299164,Juan de Fuca Distributed Learning,62,Sooke                                   ,Public School,101 814 Goldstream Ave,Victoria                      ,DISTRICT DISTANCE ED,SECONDARY,NO,NO,NO,NO,48.4498184,-123.50153
2022/2023,7324077,Juniper Ridge Elementary,73,Kamloops-Thompson                       ,Public School,2540 Qu'appelle Blvd,Kamloops                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.6603827,-120.24469
2022/2023,3636040,K B Woodward Elementary,36,Surrey                                  ,Public School,13130 106 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,YES,NO,49.1947481,-122.85898
2022/2023,2222022,Kalamalka Secondary,22,Vernon                                  ,Public School,7900 McClounie Rd,Vernon                        ,STANDARD,SECONDARY,YES,NO,NO,NO,50.222967,-119.24888
2022/2023,6715004,Kaleden Elementary,67,Okanagan Skaha                          ,Public School,152 Linden Avenue,Kaleden                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3878079,-119.59572
2022/2023,7396280,Kamloops Christian School,73,Kamloops-Thompson                       ,Independent School,750 Cottonwood Ave,Kamloops                      ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.6971389,-120.36837
2022/2023,7324014,Kamloops School of the Arts,73,Kamloops-Thompson                       ,Public School,1390 9th Ave,Kamloops                      ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.665025,-120.31986
2022/2023,4242037,Kanaka Creek Elementary,42,Maple Ridge-Pitt Meadows                ,Public School,11120 234a St,Maple Ridge                   ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2042637,-122.57182
2022/2023,3838055,Kathleen McNeely Elementary,38,Richmond                                ,Public School,12440 Woodhead Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1824211,-123.08501
2022/2023,3636201,Katzie Elementary,36,Surrey                                  ,Public School,6887 194A St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.128977,-122.68504
2022/2023,7324040,Kay Bingham Elementary,73,Kamloops-Thompson                       ,Public School,950 Southill St,Kamloops                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.7044587,-120.39868
2022/2023,6363007,Keating Elementary,63,Saanich                                 ,Public School,6843 Central Saanich Rd,Victoria                      ,STANDARD,ELEMENTARY,YES,YES,NO,NO,48.567884,-123.40276
2022/2023,4747015,Kelly Creek Community School,47,Powell River                            ,Public School,2341 Zilinsky Rd,Powell River                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.7789134,-124.37658
2022/2023,2396281,Kelowna Christian School,23,Central Okanagan                        ,Independent School,2870 Benvoulin Rd,Kelowna                       ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.8628036,-119.4572
2022/2023,2323076,Kelowna Secondary,23,Central Okanagan                        ,Public School,1079 Raymer Ave,Kelowna                       ,STANDARD,SECONDARY,YES,YES,NO,NO,49.8640577,-119.47835
2022/2023,6363011,Kelset Elementary,63,Saanich                                 ,Public School,1800 Forest Park Dr,North Saanich                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.6259701,-123.42307
2022/2023,5831011,Kengard Alternate School,58,Nicola-Similkameen                      ,Public School,PO Box 4700 STN Main,Merritt                       ,ALTERNATE,SECONDARY,NO,NO,NO,NO,50.1117863,-120.77914
2022/2023,3636132,Kennedy Trail Elementary,36,Surrey                                  ,Public School,8305 122A St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1539715,-122.88359
2022/2023,4496204,Kenneth Gordon,44,North Vancouver                         ,Independent School,420 Seymour River Pl,North Vancouver               ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.3092276,-123.01694
2022/2023,7876007,Kent Elementary,78,Fraser-Cascade                          ,Public School,7285 McCullough Rd,Agassiz                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2341366,-121.7584
2022/2023,3939113,Kerrisdale Annex,39,Vancouver                               ,Public School,3250 43rd Ave W,Vancouver                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2328337,-123.17684
2022/2023,3939038,Kerrisdale Elementary,39,Vancouver                               ,Public School,5555 Carnarvon St,Vancouver                     ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.2361894,-123.17364
2022/2023,2828008,Kersley Elementary School,28,Quesnel                                 ,Public School,2899 Arnoldus Rd,Quesnel                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,52.837933,-122.41862
2022/2023,3696948,Khalsa School Newton,36,Surrey                                  ,Independent School,6933 124 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1296311,-122.88043
2022/2023,3596926,Khalsa School of the Fraser Valley,35,Langley                                 ,Independent School,26345 62 Ave,Langley                       ,STANDARD,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,49.1152627,-122.49421
2022/2023,3696947,Khalsa School Old Yale Road,36,Surrey                                  ,Independent School,10677 124 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1965133,-122.87897
2022/2023,3696585,Khalsa Secondary School (Surrey),36,Surrey                                  ,Independent School,10589 124 St,Surrey                        ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1942875,-122.87901
2022/2023,7965023,Khowhemun Elementary,79,Cowichan Valley                         ,Public School,2918 Cliffs Rd,Duncan                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.7791235,-123.71668
2022/2023,2222024,Kidston Elementary,22,Vernon                                  ,Public School,12101 Linden Dr,Coldstream                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.2231438,-119.25863
2022/2023,8280004,Kildala Elementary,82,Coast Mountains                         ,Public School,803 Columbia Ave E,Kitimat                       ,STANDARD,ELEMENTARY,YES,YES,NO,NO,54.050307,-128.66005
2022/2023,3939016,Killarney Secondary,39,Vancouver                               ,Public School,6454 Killarney St,Vancouver                     ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2255845,-123.04414
2022/2023,9393011,Kimberley,93,Conseil scolaire francophone            ,Public School,8687 95A Hwy,Kimberley                     ,STANDARD,ELEMENTARY,NO,NO,NO,YES,49.6924447,-115.94074
2022/2023,699086,Kimberley Alternate School,6,Rocky Mountain                          ,Public School,405 Halpin St,Kimberley                     ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.6826881,-115.98046
2022/2023,696795,Kimberley Independent School,6,Rocky Mountain                          ,Independent School,73 101 Ave,Kimberley                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.665533,-115.96699
2022/2023,3996451,King David High School,39,Vancouver                               ,Independent School,5718 Willow St,Vancouver                     ,STANDARD,SECONDARY,YES,NO,NO,NO,49.23345,-123.12279
2022/2023,3939001,King George Secondary,39,Vancouver                               ,Public School,1755 Barclay St,Vancouver                     ,STANDARD,SECONDARY,YES,NO,NO,NO,49.2901533,-123.1361
2022/2023,3434019,King Traditional Elementary,34,Abbotsford                              ,Public School,28776 King Rd,Abbotsford                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0307281,-122.42724
2022/2023,8396240,King's Christian School,83,North Okanagan-Shuswap                  ,Independent School,350B 30 St NE,Salmon Arm                    ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.7023279,-119.24954
2022/2023,3838048,Kingswood Elementary,38,Richmond                                ,Public School,11511 King Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1454227,-123.09539
2022/2023,2009006,Kinnaird Elementary,20,Kootenay-Columbia                       ,Public School,2273 10 Ave,Castlegar                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2879486,-117.6535
2022/2023,4646022,Kinnikinnick Elementary,46,Sunshine Coast                          ,Public School,PO Box 142,Sechelt                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.4913354,-123.77559
2022/2023,3636174,Kirkbride Elementary,36,Surrey                                  ,Public School,12150 92 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1698287,-122.88582
2022/2023,8297051,Kispiox Community School,82,Coast Mountains                         ,Independent School,1439 Mary Blackwater Dr,Kispiox                       ,STANDARD,ELEMENTARY,NO,NO,NO,NO,55.355771,-127.68672
2022/2023,4141033,Kitchener Elementary,41,Burnaby                                 ,Public School,1351 Gilmore Ave,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2729736,-123.01528
2022/2023,8280007,Kitimat City High,82,Coast Mountains                         ,Public School,1426 Cormorant St,Kitimat                       ,ALTERNATE,SECONDARY,NO,NO,NO,NO,54.0566663,-128.64392
2022/2023,3939006,Kitsilano Secondary,39,Vancouver                               ,Public School,2706 Trafalgar St,Vancouver                     ,STANDARD,SECONDARY,YES,YES,NO,NO,49.2624166,-123.16366
2022/2023,8288030,Kitwanga Elementary,82,Coast Mountains                         ,Public School,PO Box 88,Kitwanga                      ,STANDARD,ELEMENTARY,NO,NO,NO,NO,55.1171333,-128.01637
2022/2023,8797088,Klappan Independent School,87,Stikine                                 ,Independent School,#1 Glacier Ave P.O. Box 60,Iskut                         ,STANDARD,ELEMENTARY,NO,NO,NO,NO,57.8371041,-129.98796
2022/2023,2396719,KLEOS Open Learning,23,Central Okanagan                        ,Independent School,205-251 Lawrence Ave,Kelowna                       ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.88512,-119.49805
2022/2023,2323038,KLO Middle School,23,Central Okanagan                        ,Public School,3130 Gordon Dr,Kelowna                       ,STANDARD,MIDDLE SCHOOL,YES,YES,NO,NO,49.8601915,-119.47667
2022/2023,596640,Kootenay Christian Academy,5,Southeast Kootenay                      ,Independent School,1200 Kootenay St N,Cranbrook                     ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.5233824,-115.74336
2022/2023,2020023,Kootenay Columbia Secondary,20,Kootenay-Columbia                       ,Public School,2001 Third Ave,Trail                         ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.0974768,-117.69418
2022/2023,599156,Kootenay Discovery School,5,Southeast Kootenay                      ,Public School,802 2nd Ave,Fernie                        ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.513593,-115.05314
2022/2023,599078,Kootenay Educational Services,5,Southeast Kootenay                      ,Public School,25 17th Ave N,Cranbrook                     ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.5133718,-115.75815
2022/2023,505000,Kootenay Learning Campus (KLC),5,Southeast Kootenay                      ,Public School,802 2nd Ave,Fernie                        ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.513593,-115.05314
2022/2023,502032,Kootenay Orchards Elementary,5,Southeast Kootenay                      ,Public School,1301 - 20th Ave S,Cranbrook                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.4957315,-115.75555
2022/2023,886007,Kootenay River Secondary,8,Kootenay Lake                           ,Public School,223 18th Ave S,Creston                       ,STANDARD,SECONDARY,YES,NO,NO,NO,49.5072716,-115.75692
2022/2023,896864,Kootenay Valley Christian School,8,Kootenay Lake                           ,Independent School,1152 21 Hwy N,Creston                       ,STANDARD,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,49.1082549,-116.52636
2022/2023,2099137,Kootenay-Columbia Learning Centre,20,Kootenay-Columbia                       ,Public School,2001 Third Ave,Trail                         ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.0974768,-117.69418
2022/2023,7474020,Kumsheen ShchEma-meet,74,Gold Trail                              ,Public School,PO Box 60,Lytton                        ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,50.2216008,-121.57657
2022/2023,6767019,KVR Middle School,67,Okanagan Skaha                          ,Public School,300 Jermyn Ave,Penticton                     ,STANDARD,MIDDLE SCHOOL,YES,YES,YES,NO,49.4912742,-119.5848
2022/2023,3399056,Kw'iyeqel Secondary,33,Chilliwack                              ,Public School,8855 Elm Dr,Chilliwack                    ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.1629464,-121.94798
2022/2023,6969014,Kwalikum Secondary,69,Qualicum                                ,Public School,266 Village Way,Qualicum Beach                ,STANDARD,SECONDARY,YES,NO,NO,NO,49.3480105,-124.4348
