SCHOOL_EDUCATION_LEVEL,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
SECONDARY,2022/2023,3996527,St John's Academy,39,Vancouver                               ,Independent School,369 Boundary Rd,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2814198,-123.02366
ELEMENTARY SECONDARY,2022/2023,3996435,St John's School,39,Vancouver                               ,Independent School,2215 10th Ave W,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2630882,-123.15568
ELEMENTARY,2022/2023,3996145,St Joseph's,39,Vancouver                               ,Independent School,3261 Fleming St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.255789,-123.07173
ELEMENTARY,2022/2023,3996147,St Jude's,39,Vancouver                               ,Independent School,2953 15th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2565918,-123.04224
ELEMENTARY,2022/2023,3996150,St Mary's,39,Vancouver                               ,Independent School,5239 Joyce St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2376769,-123.03363
SECONDARY,2022/2023,3996030,St Patrick Regional Secondary,39,Vancouver                               ,Independent School,115 11th Ave E,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2614236,-123.10246
ELEMENTARY,2022/2023,3996161,St Patrick's Elementary,39,Vancouver                               ,Independent School,2850 Quebec St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2597816,-123.1028
SECONDARY,2022/2023,3996944,St Regis Secondary School,39,Vancouver                               ,Independent School,2140 41st Ave W,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2344336,-123.15688
ELEMENTARY SECONDARY,2022/2023,3996692,Stratford Hall,39,Vancouver                               ,Independent School,3000 Commercial Dr,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2575374,-123.06953
ELEMENTARY,2022/2023,3939102,Tecumseh Annex,39,Vancouver                               ,Public School,1551 37th Ave E,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2370894,-123.07373
ELEMENTARY,2022/2023,3939050,Tecumseh Elementary,39,Vancouver                               ,Public School,1850 41st Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2322173,-123.06813
SECONDARY,2022/2023,3939010,Templeton Secondary,39,Vancouver                               ,Public School,727 Templeton Dr,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.277923,-123.06086
ELEMENTARY SECONDARY,2022/2023,3996724,The Westside School,39,Vancouver                               ,Independent School,788 Beatty St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.27757,-123.11344
ELEMENTARY,2022/2023,3939082,Thunderbird Elementary,39,Vancouver                               ,Public School,2325 Cassiar St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2634278,-123.03154
ELEMENTARY,2022/2023,3939112,Tillicum Community Annex,39,Vancouver                               ,Public School,2450 Cambridge St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2864098,-123.05549
ELEMENTARY,2022/2023,3939084,Trafalgar Elementary,39,Vancouver                               ,Public School,4170 Trafalgar St,Vancouver                     ,STANDARD,YES,YES,YES,NO,49.2497723,-123.16439
ELEMENTARY,2022/2023,3939119,Tyee Elementary,39,Vancouver                               ,Public School,3525 Dumphries St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2532101,-123.07383
ELEMENTARY,2022/2023,3939123,University Hill Elementary,39,Vancouver                               ,Public School,5395 Chancellor Blvd,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2745954,-123.23704
SECONDARY,2022/2023,3939024,University Hill Secondary,39,Vancouver                               ,Public School,3228 Ross Dr,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2539902,-123.23974
SENIOR SECONDARY,2022/2023,3995051,University Transition Program,39,Vancouver                               ,Public School,3228 Ross Dr,Vancouver                     ,LONG TERM PRP,NO,NO,NO,NO,49.2539902,-123.23974
SECONDARY,2022/2023,3999224,Vancouver Alternate School,39,Vancouver                               ,Public School,1580 Broadway W,Vancouver                     ,ALTERNATE,NO,NO,NO,NO,49.2633058,-123.14026
ELEMENTARY SECONDARY,2022/2023,3996071,Vancouver Christian,39,Vancouver                               ,Independent School,3496 Mons Drive,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.25471,-123.02857
ELEMENTARY SECONDARY,2022/2023,3996007,Vancouver College,39,Vancouver                               ,Independent School,5401 Hudson St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2369278,-123.13477
SECONDARY,2022/2023,3996509,Vancouver Formosa Academy,39,Vancouver                               ,Independent School,5621 Killarney St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.23375,-123.04637
ELEMENTARY JR SECONDARY,2022/2023,3996322,Vancouver Hebrew Academy,39,Vancouver                               ,Independent School,1545 62nd Ave W,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.215449,-123.1415
SECONDARY,2022/2023,3998004,Vancouver Learning Network,39,Vancouver                               ,Public School,530 41st Ave E,Vancouver                     ,DISTRICT DISTANCE ED,NO,NO,NO,NO,49.2321388,-123.09171
ELEMENTARY,2022/2023,3996225,Vancouver Montessori School,39,Vancouver                               ,Independent School,8650 Barnard St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.207788,-123.14475
SECONDARY,2022/2023,3939000,Vancouver School Board Adult Education,39,Vancouver                               ,Public School,6010 Fraser St,Vancouver                     ,CONTINUING ED,NO,NO,NO,NO,49.2300327,-123.09011
ELEMENTARY,2022/2023,3996083,Vancouver Talmud Torah Elementary,39,Vancouver                               ,Independent School,998 West 26th Ave,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2478941,-123.12694
SECONDARY,2022/2023,3939011,Vancouver Technical Secondary,39,Vancouver                               ,Public School,2600 Broadway E,Vancouver                     ,STANDARD,YES,YES,NO,NO,49.2614369,-123.05163
MIDDLE SCHOOL,2022/2023,3996980,VISST,39,Vancouver                               ,Independent School,200-1490 Broadway W,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2634652,-123.13813
ELEMENTARY,2022/2023,3939056,Walter Moberly Elementary,39,Vancouver                               ,Public School,1000 59th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2157606,-123.08432
ELEMENTARY,2022/2023,3939099,Waverley Elementary,39,Vancouver                               ,Public School,6111 Elliott St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2276642,-123.05563
ELEMENTARY,2022/2023,3939073,wekwanes te syaqwem Elemtary School,39,Vancouver                               ,Public School,1430 Lillooet St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2718063,-123.03835
ELEMENTARY SECONDARY,2022/2023,3996601,West Coast Christian School,39,Vancouver                               ,Independent School,15 Renfrew St N,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.28498,-123.04454
ELEMENTARY SECONDARY,2022/2023,3996645,West Point Grey Academy,39,Vancouver                               ,Independent School,4125 West 8th Avenue,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2665861,-123.20029
ELEMENTARY,2022/2023,3996810,Westside Montessori Academy,39,Vancouver                               ,Independent School,3075 Slocan St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2565605,-123.05043
ELEMENTARY,2022/2023,3996937,Westside Montessori Elementary School,39,Vancouver                               ,Independent School,3396 Cambie St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2549671,-123.11488
ELEMENTARY,2022/2023,3996683,Westside Montessori School,39,Vancouver                               ,Independent School,4157 Oak St,Vancouver                     ,STANDARD,NO,NO,NO,NO,49.2485738,-123.1279
SECONDARY,2022/2023,3939020,Windermere Community Secondary,39,Vancouver                               ,Public School,3155 27th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2469676,-123.03774
ELEMENTARY,2022/2023,3939033,Xpey' Elementary,39,Vancouver                               ,Public School,1950 Hastings St E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2805538,-123.0647
ELEMENTARY SECONDARY,2022/2023,3996011,York House School,39,Vancouver                               ,Independent School,4176 Alexandra St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2485521,-123.14031
